Run_number_(), Equivalence_Ratio_C1_Inlet1_Flame_Speed_(C1)_(), Pressure_end_point_(atm), Mass_density_end_point_(g/cm3), Axial_velocity_end_point_(cm/sec), Cross-section_area_end_point_(cm2), Net_heat_production_from_gas-phase_reactions_end_point_(erg/cm3-sec), EINO_end_point_(g-NO/kg-fuel), EINO2_end_point_(g-NO2/kg-fuel), EINOX_end_point_(g-NOx/kg-fuel), EICO_end_point_(g-CO/kg-fuel), Unburned_fuel_fraction_end_point_(), Temperature_end_point_(K), Mole_fraction_H2_end_point_(), Mole_fraction_H_end_point_(), Mole_fraction_O_end_point_(), Mole_fraction_O2_end_point_(), Mole_fraction_OH_end_point_(), Mole_fraction_H2O_end_point_(), Mole_fraction_HO2_end_point_(), Mole_fraction_H2O2_end_point_(), Mole_fraction_CO_end_point_(), Mole_fraction_CO2_end_point_(), Mole_fraction_HCO_end_point_(), Mole_fraction_CH2O_end_point_(), Mole_fraction_NO_end_point_(), Mole_fraction_NO2_end_point_(), Mole_fraction_N2O_end_point_(), Mole_fraction_N2_end_point_(), Flow_rate_end_point_(g/cm2-sec), Molecular_weight_end_point_(g/mole), Mole_fraction_N_end_point_(), Mole_fraction_NNH_end_point_(), Mole_fraction_NH_end_point_()
1.000000e+000, 8.000000e-001, 9.999997e-001, 1.693948e-004, 3.302896e+002, 1.000000e+000, 4.859555e+006, 1.230377e-006, 1.122278e+000, 1.122280e+000, 1.911606e-016, 3.373146e-002, 2.216137e+003, 4.271586e-004, 1.379229e-004, 6.615967e-004, 4.185487e-002, 2.950392e-003, 6.400949e-002, 1.503494e-006, 4.707850e-008, 7.401156e-003, 2.074891e-001, 2.307075e-010, 1.264123e-012, 2.230359e-004, 1.241485e-007, 2.702868e-007, 6.748433e-001, 5.594933e-002, 3.080454e+001, 0.000000e+000, 0.000000e+000, 0.000000e+000
2.000000e+000, 9.000000e-001, 9.999997e-001, 1.629065e-004, 4.127990e+002, 1.000000e+000, 8.211172e+006, 2.927481e-006, 1.850061e+000, 1.850066e+000, 3.206746e-015, 7.131779e-002, 2.307290e+003, 9.738636e-004, 3.393763e-004, 9.395218e-004, 2.819713e-002, 3.956315e-003, 6.984967e-002, 1.559061e-006, 5.331166e-008, 1.719692e-002, 2.190662e-001, 1.123411e-009, 6.706037e-012, 3.883153e-004, 1.565346e-007, 2.524952e-007, 6.590906e-001, 6.724763e-002, 3.084315e+001, 1.772397e-008, 6.353076e-010, 0.000000e+000
3.000000e+000, 1.000000e+000, 9.999997e-001, 1.587998e-004, 4.900348e+002, 1.000000e+000, 1.276395e+007, 5.267767e-006, 2.245171e+000, 2.245179e+000, 2.775895e-014, 1.208907e-001, 2.363085e+003, 1.831223e-003, 6.262470e-004, 1.041760e-003, 1.788301e-002, 4.518866e-003, 7.548613e-002, 1.365058e-006, 5.266834e-008, 3.156211e-002, 2.243368e-001, 3.461503e-009, 2.313303e-011, 4.830447e-004, 1.434444e-007, 2.126199e-007, 6.422290e-001, 7.781745e-002, 3.079269e+001, 3.240553e-008, 1.171807e-009, 1.950535e-009
4.000000e+000, 1.100000e+000, 9.999997e-001, 1.565446e-004, 5.571498e+002, 1.000000e+000, 1.768205e+007, 7.715454e-006, 2.169650e+000, 2.169661e+000, 1.507803e-013, 1.757682e-001, 2.388981e+003, 2.982489e-003, 9.352604e-004, 9.578305e-004, 1.071329e-002, 4.552747e-003, 8.023351e-002, 1.042006e-006, 4.638790e-008, 4.912563e-002, 2.249060e-001, 7.698782e-009, 5.858159e-011, 4.686110e-004, 1.027770e-007, 1.643226e-007, 6.251232e-001, 8.721881e-002, 3.068803e+001, 4.141871e-008, 1.722963e-009, 2.866192e-009
5.000000e+000, 1.200000e+000, 9.999997e-001, 1.556305e-004, 6.132694e+002, 1.000000e+000, 2.265157e+007, 9.906604e-006, 1.820771e+000, 1.820786e+000, 6.103023e-013, 2.321234e-001, 2.392102e+003, 4.415896e-003, 1.218663e-003, 7.776930e-004, 6.143498e-003, 4.202098e-003, 8.381514e-002, 7.215523e-007, 3.760798e-008, 6.883225e-002, 2.220174e-001, 1.394081e-008, 1.213481e-010, 3.888055e-004, 6.254613e-008, 1.188064e-007, 6.081876e-001, 9.544345e-002, 3.054869e+001, 4.145203e-008, 2.187225e-009, 3.377217e-009
6.000000e+000, 1.300000e+000, 9.999997e-001, 1.556071e-004, 6.618765e+002, 1.000000e+000, 2.602937e+007, 1.174470e-005, 1.395449e+000, 1.395467e+000, 2.153131e-012, 2.893134e-001, 2.377582e+003, 6.251708e-003, 1.457668e-003, 5.693529e-004, 3.320330e-003, 3.630792e-003, 8.731242e-002, 4.603663e-007, 2.881939e-008, 9.027358e-002, 2.158827e-001, 2.232042e-008, 2.251529e-010, 2.903055e-004, 3.340658e-008, 8.015704e-008, 5.910104e-001, 1.029927e-001, 3.035869e+001, 3.459780e-008, 2.526243e-009, 3.419185e-009
7.000000e+000, 1.400000e+000, 9.999997e-001, 1.562987e-004, 7.017354e+002, 1.000000e+000, 2.594334e+007, 1.298533e-005, 1.013524e+000, 1.013544e+000, 6.926195e-012, 3.451358e-001, 2.349431e+003, 8.536392e-003, 1.619319e-003, 3.790325e-004, 1.688100e-003, 2.954996e-003, 9.058932e-002, 2.729257e-007, 2.108549e-008, 1.125526e-001, 2.075953e-001, 3.233115e-008, 3.837435e-010, 2.031547e-004, 1.625570e-008, 5.086034e-008, 5.738814e-001, 1.096803e-001, 3.013257e+001, 2.515356e-008, 2.691149e-009, 3.108354e-009
8.000000e+000, 1.500000e+000, 9.999997e-001, 1.575221e-004, 7.258436e+002, 1.000000e+000, 2.525517e+007, 1.358806e-005, 7.658420e-001, 7.658629e-001, 1.659681e-011, 3.910689e-001, 2.318203e+003, 1.068133e-002, 1.712246e-003, 2.633423e-004, 9.503051e-004, 2.414833e-003, 9.132329e-002, 1.717710e-007, 1.588212e-008, 1.329423e-001, 2.009432e-001, 4.249565e-008, 5.679792e-010, 1.488447e-004, 0.000000e+000, 3.379567e-008, 5.586201e-001, 1.143364e-001, 2.996478e+001, 1.838921e-008, 2.730506e-009, 2.768588e-009
9.000000e+000, 1.600000e+000, 9.999997e-001, 1.592178e-004, 7.511847e+002, 1.000000e+000, 2.410250e+007, 1.423110e-005, 5.532293e-001, 5.532511e-001, 4.450827e-011, 4.404987e-001, 2.272536e+003, 1.388855e-002, 1.796567e-003, 1.676873e-004, 4.842398e-004, 1.888510e-003, 9.426082e-002, 1.004300e-007, 1.179169e-008, 1.548624e-001, 1.906926e-001, 5.614495e-008, 8.626937e-010, 1.022384e-004, 0.000000e+000, 2.037718e-008, 5.418562e-001, 1.196020e-001, 2.969071e+001, 1.216526e-008, 2.719186e-009, 2.377107e-009
1.000000e+001, 1.700000e+000, 9.999997e-001, 1.607520e-004, 7.723223e+002, 1.000000e+000, 2.181121e+007, 1.441203e-005, 4.395396e-001, 4.395617e-001, 9.765004e-011, 4.803378e-001, 2.234645e+003, 1.688153e-002, 1.829382e-003, 1.134925e-004, 2.742357e-004, 1.514405e-003, 9.527102e-002, 6.317677e-008, 9.112833e-009, 1.744019e-001, 1.826441e-001, 6.892161e-008, 1.184779e-009, 7.795623e-005, 0.000000e+000, 1.329752e-008, 5.269918e-001, 1.241524e-001, 2.947699e+001, 8.988388e-009, 2.642832e-009, 2.179750e-009
1.100000e+001, 1.800000e+000, 9.999997e-001, 1.625904e-004, 7.820447e+002, 1.000000e+000, 1.957830e+007, 1.441845e-005, 3.532968e-001, 3.533189e-001, 2.098219e-010, 5.172580e-001, 2.192159e+003, 2.033896e-002, 1.840035e-003, 7.570496e-005, 1.545223e-004, 1.199755e-003, 9.632055e-002, 3.943668e-008, 7.123507e-009, 1.932363e-001, 1.743656e-001, 8.313907e-008, 1.588000e-009, 5.992747e-005, 0.000000e+000, 8.547306e-009, 5.124084e-001, 1.271530e-001, 2.924725e+001, 6.740913e-009, 2.528694e-009, 2.028736e-009
1.200000e+001, 1.900000e+000, 9.999997e-001, 1.643862e-004, 7.854259e+002, 1.000000e+000, 1.777580e+007, 1.418591e-005, 2.982892e-001, 2.983110e-001, 3.797609e-010, 5.460188e-001, 2.156253e+003, 2.325705e-002, 1.831838e-003, 5.435902e-005, 9.697082e-005, 9.822898e-004, 9.575968e-002, 2.658456e-008, 5.815738e-009, 2.098377e-001, 1.685131e-001, 9.633275e-008, 1.979447e-009, 4.896819e-005, 0.000000e+000, 5.942058e-009, 4.996179e-001, 1.291132e-001, 2.908595e+001, 5.514445e-009, 2.407827e-009, 1.945596e-009
1.300000e+001, 2.000000e+000, 9.999997e-001, 1.662688e-004, 7.881582e+002, 1.000000e+000, 1.610679e+007, 1.392737e-005, 2.514894e-001, 2.515107e-001, 7.097960e-010, 5.736794e-001, 2.117878e+003, 2.672104e-002, 1.816225e-003, 3.834753e-005, 5.982726e-005, 7.966344e-004, 9.571790e-002, 1.765923e-008, 4.780329e-009, 2.259928e-001, 1.620575e-001, 1.110710e-007, 2.460313e-009, 3.976247e-005, 0.000000e+000, 4.072249e-009, 4.867599e-001, 1.310462e-001, 2.889549e+001, 4.591812e-009, 2.276745e-009, 1.878880e-009
1.400000e+001, 2.100000e+000, 9.999997e-001, 1.681046e-004, 7.881981e+002, 1.000000e+000, 1.523506e+007, 1.385531e-005, 2.143227e-001, 2.143439e-001, 1.280043e-009, 5.987684e-001, 2.080925e+003, 3.037824e-002, 1.824099e-003, 2.829728e-005, 3.893441e-005, 6.601823e-004, 9.549974e-002, 1.228516e-008, 4.094995e-009, 2.412549e-001, 1.558631e-001, 1.284802e-007, 2.999703e-009, 3.263704e-005, 0.000000e+000, 2.877013e-009, 4.744196e-001, 1.324997e-001, 2.870477e+001, 3.997446e-009, 2.181477e-009, 1.826267e-009
1.500000e+001, 2.200000e+000, 9.999997e-001, 1.699030e-004, 7.840234e+002, 1.000000e+000, 1.423305e+007, 1.357616e-005, 1.843118e-001, 1.843326e-001, 2.235883e-009, 6.206144e-001, 2.046403e+003, 3.399746e-002, 1.807674e-003, 2.094162e-005, 2.571710e-005, 5.476028e-004, 9.496291e-002, 8.574885e-009, 3.509556e-009, 2.554160e-001, 1.504155e-001, 1.451077e-007, 3.571084e-009, 2.712145e-005, 0.000000e+000, 2.076723e-009, 4.627788e-001, 1.332080e-001, 2.853057e+001, 3.572695e-009, 2.065515e-009, 0.000000e+000
